date	Lawrence Ng	Neeta	Ted Trask	Neeta Joshi	Sachini Samarasinghe	Malinda Kandalama	Malinda
1392392111	16	0	0	0	0	0	0
1392397527	17	0	0	0	0	0	0
1392830779	18	0	0	0	0	0	0
1392841719	19	0	0	0	0	0	0
1392844458	20	0	0	0	0	0	0
1392852040	21	0	0	0	0	0	0
1392933375	22	0	0	0	0	0	0
1393016220	23	0	0	0	0	0	0
1393018032	24	0	0	0	0	0	0
1393272179	25	0	0	0	0	0	0
1393356877	26	0	0	0	0	0	0
1393357414	27	0	0	0	0	0	0
1393437911	28	0	0	0	0	0	0
1393442422	29	0	0	0	0	0	0
1393515175	30	0	0	0	0	0	0
1393531146	31	0	0	0	0	0	0
1393532869	32	0	0	0	0	0	0
1393534919	33	0	0	0	0	0	0
1393540722	34	0	0	0	0	0	0
1393861723	35	0	0	0	0	0	0
1394035569	36	0	0	0	0	0	0
1394039661	37	0	0	0	0	0	0
1394054732	38	0	0	0	0	0	0
1394055920	39	0	0	0	0	0	0
1394056588	40	0	0	0	0	0	0
1394119672	41	0	0	0	0	0	0
1394125181	42	0	0	0	0	0	0
1394145913	43	0	0	0	0	0	0
1394460626	44	0	0	0	0	0	0
1394465228	45	0	0	0	0	0	0
1394467610	46	0	0	0	0	0	0
1394470538	47	0	0	0	0	0	0
1394478517	48	0	0	0	0	0	0
1394487470	49	0	0	0	0	0	0
1394546208	50	0	0	0	0	0	0
1394549933	51	0	0	0	0	0	0
1394573638	52	0	0	0	0	0	0
1394730184	53	0	0	0	0	0	0
1394732727	55	0	0	0	0	0	0
1395071699	56	0	0	0	0	0	0
1395080218	57	0	0	0	0	0	0
1395084092	58	0	0	0	0	0	0
1395243935	59	0	0	0	0	0	0
1395261876	60	0	0	0	0	0	0
1395324514	61	0	0	0	0	0	0
1395347240	62	0	0	0	0	0	0
1395418555	63	0	0	0	0	0	0
1395675797	64	0	0	0	0	0	0
1395682889	65	0	0	0	0	0	0
1395687258	66	0	0	0	0	0	0
