date	Lawrence Ng	Neeta	Ted Trask	Neeta Joshi	Sachini Samarasinghe	Malinda Kandalama	Malinda
1392392111	27013	0	0	0	0	0	0
1392397527	27021	0	0	0	0	0	0
1392830779	27024	0	0	0	0	0	0
1392841719	27573	0	0	0	0	0	0
1392844458	27597	0	0	0	0	0	0
1392852040	27702	0	0	0	0	0	0
1392933375	27702	0	0	0	0	0	0
1393016220	27706	0	0	0	0	0	0
1393018032	27706	0	0	0	0	0	0
1393272179	27723	0	0	0	0	0	0
1393356877	27861	0	0	0	0	0	0
1393357414	27864	0	0	0	0	0	0
1393437911	27903	0	0	0	0	0	0
1393442422	28012	0	0	0	0	0	0
1393515175	28021	0	0	0	0	0	0
1393531146	28032	0	0	0	0	0	0
1393532869	28039	0	0	0	0	0	0
1393534919	28087	0	0	0	0	0	0
1393540722	28089	0	0	0	0	0	0
1393861723	28100	0	0	0	0	0	0
1394035569	28126	0	0	0	0	0	0
1394039661	28188	0	0	0	0	0	0
1394054732	28301	0	0	0	0	0	0
1394055920	28303	0	0	0	0	0	0
1394056588	28307	0	0	0	0	0	0
1394119672	28320	0	0	0	0	0	0
1394125181	28328	0	0	0	0	0	0
1394145913	33119	0	0	0	0	0	0
1394460626	33126	0	0	0	0	0	0
1394465228	33150	0	0	0	0	0	0
1394467610	33176	0	0	0	0	0	0
1394470538	33176	0	0	0	0	0	0
1394478517	33239	0	0	0	0	0	0
1394487470	33251	0	0	0	0	0	0
1394546208	33287	0	0	0	0	0	0
1394549933	33300	0	0	0	0	0	0
1394573638	33509	0	0	0	0	0	0
1394730184	33513	0	0	0	0	0	0
1394732727	33853	0	0	0	0	0	0
1395071699	33905	0	0	0	0	0	0
1395080218	33955	0	0	0	0	0	0
1395084092	37195	0	0	0	0	0	0
1395243935	37258	0	0	0	0	0	0
1395261876	37417	0	0	0	0	0	0
1395324514	37422	0	0	0	0	0	0
1395347240	37423	0	0	0	0	0	0
1395418555	37453	0	0	0	0	0	0
1395675797	37472	0	0	0	0	0	0
